NSM,WeekStatus,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
34860,1,23.7,26.272,585.2,749.2,0.004764163024164,1
34801,1,23.718,26.29,578.4,760.4,0.004772660992125,1
34740,1,23.73,26.23,572.666666666667,769.666666666667,0.004765152552465,1
34680,1,23.7225,26.125,493.75,774.75,0.004743773355997,1
34620,1,23.754,26.2,488.6,779,0.004766593999986,1
34561,1,23.76,26.26,568.666666666667,790,0.004779332431635,1
34500,1,23.73,26.29,536.333333333333,798,0.004776136332749,1
34441,1,23.754,26.29,509,797,0.00478309370839,1
34381,1,23.754,26.35,476,803.2,0.00479409399662,1
34320,1,23.736,26.39,510,809,0.004796188710389,1
34260,1,23.745,26.445,481.5,815.25,0.004808886220677,1
34200,1,23.7,26.56,481.8,824,0.004816793367736,1
34140,1,23.7,26.6,475.25,832,0.004824103836749,1
34081,1,23.7,26.7,469,845.333333333333,0.004842380755336,1
34021,1,23.7,26.774,464,852.4,0.00485590636129,1
33960,1,23.7,26.89,464,861,0.004877109837191,1
33900,1,23.7,26.9725,455,880,0.004892190768364,1
33840,1,23.6,26.89,454,891,0.00484759441397,1
33780,1,23.64,26.976,458,897.6,0.00487504478113,1
33720,1,23.65,27.05,464,900.5,0.004891491589296,1
33661,1,23.64,27.1,473,908.8,0.004897630243458,1
33601,1,23.6,27.16,464,918,0.004896651845225,1
33540,1,23.6,27.236,498.4,925.2,0.004910461988556,1
33480,1,23.6,27.29,530.2,929.4,0.004920274828575,1
33420,1,23.6,27.33,533.6,936.4,0.004927543797016,1
33360,1,23.6,27.34,524.25,950,0.004929361065464,1
33301,1,23.625,27.3925,498.666666666667,961,0.004946405747441,1
33241,1,23.6,27.39,516.333333333333,963,0.004938447565739,1
33180,1,23.6,27.412,501.2,958.6,0.004942445709303,1
33120,1,23.6,27.5,522,965.333333333333,0.004958438793517,1
33060,1,23.6,27.525,520.5,979.25,0.004962982432182,1
33000,1,23.6,27.6,505.285714285714,978.428571428571,0.004976613743323,1
32940,1,23.6,27.6,488.333333333333,983,0.004976613743323,1
32881,1,23.6,27.54,512,992.6,0.004965708646992,1
32820,1,23.6,27.6,511,997.2,0.004976613743323,1
32760,1,23.6166666666667,27.6333333333333,501.5,999.5,0.004987718421392,1
32700,1,23.6666666666667,27.7,503.666666666667,1001,0.005015050860954,1
32641,1,23.6,27.7,483.166666666667,1009.5,0.004994789746909,1
32580,1,23.6,27.7225,483.5,1019,0.004998879492949,1
32521,1,23.6,27.79,473,1021,0.005011149051195,1
32461,1,23.6,27.8566666666667,470.333333333333,1024.66666666667,0.005023267604764,1
32400,1,23.6,27.8042857142857,480.142857142857,1030.42857142857,0.005013745844668,1
32340,1,23.575,27.79,464,1026.25,0.005003544748453,1
32280,1,23.54,27.81,474.4,1028,0.004996538010603,1
32220,1,23.6,27.978,470,1034.8,0.005045324574421,1
32160,1,23.525,28,454,1055.5,0.005026366758195,1
32101,1,23.5,27.978,454,1055.25,0.005014759724177,1
32040,1,23.5,28,454,1050,0.00501873480787,1
31980,1,23.5,28,454,1051.25,0.00501873480787,1
31920,1,23.5,28,445,1053.6,0.00501873480787,1
31861,1,23.5,28,439,1055.5,0.00501873480787,1
31800,1,23.5,28.025,444.25,1055,0.00502325200961,1
31741,1,23.445,28.125,454.75,1059.5,0.00502449114748,1
31681,1,23.39,28.18,455.8,1060,0.005017582274385,1
31620,1,23.39,28.2,451.6,1073.6,0.005021172116351,1
31560,1,23.39,28.2,451.6,1078.6,0.005021172116351,1
31500,1,23.39,28.2,454.75,1081,0.005021172116351,1
31440,1,23.39,28.2225,454.75,1082,0.005025210737696,1
31381,1,23.39,28.3733333333333,457.5,1088.83333333333,0.005052285802005,1
31321,1,23.37,28.39,464,1090.6,0.005049129542326,1
31260,1,23.39,28.3233333333333,464,1086,0.005043310383489,1
31200,1,23.3733333333333,28.445,464,1092.5,0.005060017034319,1
31140,1,23.39,28.5,471.5,1103.75,0.005075024678928,1
31080,1,23.3233333333333,28.5,475.666666666667,1104.5,0.005054475989477,1
31020,1,23.365,28.5,471.5,1103.5,0.005067310298113,1
30961,1,23.29,28.5,467.75,1112,0.005044229203962,1
30901,1,23.3066666666667,28.5333333333333,466.5,1105.66666666667,0.005055303974301,1
30840,1,23.29,28.7,464,1104,0.005079916402332,1
30780,1,23.29,28.7,467,1117.2,0.005079916402332,1
30720,1,23.29,28.675,467.75,1121.25,0.005075455280388,1
30660,1,23.29,28.6166666666667,466.5,1115.66666666667,0.005065046242691,1
30601,1,23.29,28.66,459,1120,0.005072778637689,1
30541,1,23.29,28.55,464,1123.75,0.005053150622744,1
30480,1,23.29,28.6,470,1116,0.005062072295392,1
30420,1,23.272,28.6,464,1126.8,0.005056526953044,1
30360,1,23.2,28.4175,464,1112.75,0.005002015708432,1
30300,1,23.23,28.5,449,1104.5,0.005025831174769,1
30240,1,23.29,28.5,464,1108,0.005044229203962,1
30181,1,23.215,28.6333333333333,462.333333333333,1127.83333333333,0.005044922648211,1
30120,1,23.2,28.6,469,1128.75,0.005034399152375,1
30060,1,23.2,28.65,469,1124.25,0.005043271912579,1
30000,1,23.2,28.62,469,1130.4,0.005037948226324,1
29941,1,23.2,28.7,464,1138,0.005052144923893,1
29880,1,23.2,28.7,456.5,1144,0.005052144923893,1
29821,1,23.2,28.718,457,1140,0.005055339269439,1
29761,1,23.2,28.79,450.25,1139.25,0.005068116977086,1
29700,1,23.2,28.79,446,1167.33333333333,0.005068116977086,1
29640,1,23.14,28.79,451.6,1159.6,0.005049618409759,1
29580,1,23.15,28.89,454.75,1157.75,0.005070390606668,1
29520,1,23.15,28.89,448,1159.5,0.005070390606668,1
29460,1,23.18,28.83,444,1156.4,0.00506903438933,1
29401,1,23.1166666666667,28.945,444,1160,0.005069809467164,1
29340,1,23.14,28.956,444,1169.8,0.005078971703222,1
29280,1,23.1,29,444,1176.16666666667,0.005074362126427,1
29220,1,23.1,29.075,444,1175.25,0.005087592818012,1
29161,1,23.1,28.918,444,1166.6,0.005059897209171,1
29100,1,23.1,27.925,444,1140.25,0.004884783546013,1
29041,1,23.06,27.772,444,1089.2,0.004845978906963,1
28981,1,23.02,27.556,435,1042.6,0.004796283995983,1
28920,1,23.01,27.8188333333333,432,1051.1,0.004839435098129,1
28860,1,23,28.0816666666667,429,1059.6,0.004882537915141,1
28800,1,23,27.956,429,1064.6,0.004860517607997,1
28740,1,22.9816666666667,27.9083333333333,429,1061.66666666667,0.004846741494858,1
28681,1,23,27.9266666666667,429,1058.33333333333,0.004855377812048,1
28621,1,23,28.018,429,1061.6,0.004871381544968,1
28560,1,22.9816666666667,28.0666666666667,429,1070.33333333333,0.004874454172997,1
28500,1,22.945,28.1,429,1074,0.004869381246704,1
28440,1,23,28.1,429,1086.25,0.004885750556106,1
28380,1,22.956,28.2,429,1089.6,0.004890127956968,1
28320,1,22.9725,28.1,429,1085,0.004877559842592,1
28261,1,22.945,28.1333333333333,429,1085,0.004875202773628,1
28201,1,23,28.2,429,1088,0.004903274631941,1
28140,1,22.945,28.2,429,1091.75,0.004886846151857,1
28080,1,23,28.1333333333333,429,1091.33333333333,0.00489159180586,1
28020,1,22.912,28.1,429,1088.2,0.004859582905056,1
27960,1,22.89,28.1,429,1087.5,0.004853060345748,1
27901,1,22.89,27.956,432,1079.2,0.004827997529773,1
27841,1,22.865,27.84,432.75,1077.25,0.004800476426494,1
27780,1,22.8733333333333,27.6833333333333,439,1064.16666666667,0.004775684242523,1
27720,1,22.8733333333333,27.6,429,1056.4,0.004761198268773,1
27660,1,22.89,27.6,432.75,1043.6,0.004766045280111,1
27600,1,22.815,27.445,432.75,1039.5,0.004717422349366,1
27540,1,22.84,27.3733333333333,436.5,1028.66666666667,0.004712199539953,1
27481,1,22.79,27.365,438,1020.4,0.004696390449611,1
27420,1,22.79,27.2,444,1018,0.004667860584047,1
27360,1,22.79,27.1714285714286,435.428571428571,1015.14285714286,0.004662920611428,1
27300,1,22.79,27.0666666666667,434,1006.33333333333,0.004644808044802,1
27241,1,22.79,27.02,432,1002.6,0.004636740056745,1
27180,1,22.772,26.934,438,993.2,0.004616793493093,1
27121,1,22.76,26.8233333333333,439,983.333333333333,0.004594314620648,1
27061,1,22.7,26.754,432,976.2,0.004565582767016,1
27000,1,22.7225,26.7,432.75,980.75,0.004562569263643,1
26940,1,22.7,26.6833333333333,434,971.333333333333,0.004553435185153,1
26880,1,22.7,26.5333333333333,444,966.666666666667,0.004527651784618,1
26820,1,22.7,26.4633333333333,444,963,0.004515620257229,1
26760,1,22.7,26.445,441.5,952.333333333333,0.004512469219273,1
26701,1,22.7,26.34,444,948,0.004494422976116,1
26640,1,22.7,26.26,444,945,0.004480674155299,1
26580,1,22.7,26.2,441,941.6,0.004470362935696,1
26520,1,22.7,26.16,438,929.8,0.004463488977861,1
26461,1,22.7,26.02,441,923.8,0.004439431313329,1
26400,1,22.7,26.1,440.25,919,0.004453178323945,1
26341,1,22.7,26,439,918.25,0.004435994654946,1
26281,1,22.7,25.934,438,919.4,0.004424653949807,1
26220,1,22.7,25.9266666666667,439,927.333333333333,0.004423393896805,1
26160,1,22.7,25.815,432.75,920.25,0.004404207352361,1
26100,1,22.68,25.772,432,902.4,0.004391449431501,1
26040,1,22.64,25.696,429,904.4,0.004367717608222,1
25981,1,22.6,25.575,429,897,0.00433639010073,1
25921,1,22.6666666666667,25.6,429,892,0.004358383194026,1
25860,1,22.6,25.525,433.5,882.5,0.004327853321561,1
25800,1,22.62,25.476,436.2,887.2,0.004324772123038,1
25740,1,22.625,25.55,442.5,889.25,0.004338747804235,1
25680,1,22.6,25.39,443.4,889.2,0.004304805180136,1
25620,1,22.65,25.42,438,880.75,0.004323119609679,1
25561,1,22.6,25.2675,442.5,868.75,0.004283892593796,1
25501,1,22.6,25.218,439.8,861,0.004275442597939,1
25440,1,22.6,25.2,439.8,860.6,0.004272369928706,1
25380,1,22.6,25.2,435.5,864,0.004272369928706,1
25320,1,22.6,25.15,430.75,859,0.004263834894588,1
25260,1,22.6,25.14,440.6,854.4,0.00426212791568,1
25201,1,22.6,25.15,428.2,847.4,0.004263834894588,1
25141,1,22.6,25.04,432.2,837.2,0.004245058638382,1
25080,1,22.6,25.05,431.75,834.75,0.004246765524241,1
25020,1,22.6,25.06,429.2,832.4,0.004248472419404,1
24960,1,22.6,25,433,832,0.004238231187993,1
24900,1,22.6,25,433,836.25,0.004238231187993,1
24840,1,22.6,25,428.2,832.6,0.004238231187993,1
24781,1,22.6,25.025,428.25,821.5,0.004242498327041,1
24720,1,22.6,25.1,425.4,832.4,0.004255300093102,1
24660,1,22.6,25.08,429.2,832.4,0.004251886237644,1
24600,1,22.56,25.02,433,830.75,0.004231284178568,1
24541,1,22.58,25.08,433,821.5,0.004246690488579,1
24480,1,22.575,25.075,433,818.25,0.004244540280301,1
24421,1,22.56,24.912,433,819.8,0.004212895934202,1
24361,1,22.55,25.2,433,822.5,0.004259328097087,1
24300,1,22.6,24.9175,433,818,0.004224150041712,1
24240,1,22.58,25.06,433,812.8,0.004243280870246,1
24180,1,22.5666666666667,24.9083333333333,433,816.5,0.004213989092135,1
24120,1,22.525,24.945,433,822.25,0.004209494615434,1
24060,1,22.54,24.89,433,825,0.00420400556107,1
24001,1,22.5,24.865,433,816.5,0.004189492042553,1
23940,1,22.5,24.9175,433,811.5,0.004198397449639,1
23880,1,22.5,24.9116666666667,433,811,0.004197407947455,1
23820,1,22.56,24.81,433,812.2,0.004195530250497,1
23761,1,22.525,24.89,426,814.25,0.004200150634952,1
23700,1,22.52,24.976,430.2,824,0.004213472565043,1
23641,1,22.575,25.075,433,834.5,0.004244540280301,1
23581,1,22.6,25,433,837,0.004238231187993,1
23520,1,22.6,25.0214285714286,433,841.166666666667,0.004241888732188,1
23460,1,22.6,25.0428571428571,433,845.333333333333,0.004245546319107,1
23400,1,22.6,25.1,433,854.75,0.004255300093102,1
23340,1,22.6,25.1,428.333333333333,850.333333333333,0.004255300093102,1
23281,1,22.6,25.08,424.6,845.4,0.004251886237644,1
23221,1,22.6,25.1666666666667,433,854.333333333333,0.004266679880112,1
23160,1,22.6,25.0666666666667,428.333333333333,849.333333333333,0.004249610354682,0
23100,1,22.6,25.2,422.5,853,0.004272369928706,0
23040,1,22.6,25.2,423.666666666667,853,0.004272369928706,0
22980,1,22.54,25.16,424.6,852,0.004249921074908,0
