NSM,WeekStatus,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
22140,1,23.18,27.272,426,721.25,0.004792988176505,1
22081,1,23.15,27.2675,429.5,714,0.004783440949311,1
22020,1,23.15,27.245,426,713.5,0.004779463524422,1
21960,1,23.15,27.2,426,708.25,0.004771508826082,1
21900,1,23.1,27.2,426,704.5,0.004756992933315,1
21841,1,23.1,27.2,419,701,0.004756992933315,1
21780,1,23.1,27.2,419,701.666666666667,0.004756992933315,1
21721,1,23.1,27.2,419,699,0.004756992933315,1
21661,1,23.1,27.2,419,689.333333333333,0.004756992933315,1
21600,1,23.075,27.175,419,688,0.004745350719667,1
21540,1,23.075,27.15,419,690.25,0.004740951896943,1
21480,1,23.1,27.1,419,691,0.004739370730521,1
21420,1,23.1,27.1666666666667,419,683.5,0.00475111875561,1
21360,1,23.05,27.15,419,687.5,0.004733731797083,1
21301,1,23,27.125,419,686,0.004714942145905,1
21240,1,23,27.125,418.5,680.5,0.004714942145905,1
21180,1,23,27.2,0,681.5,0.004728077949669,0
21120,1,22.945,27.29,0,685,0.004727951371781,0
21061,1,22.945,27.39,0,685,0.004745408397094,0
21000,1,22.89,27.39,0,689,0.00472950615591,0
20941,1,22.89,27.39,0,689.5,0.00472950615591,0
20881,1,22.89,27.39,0,689,0.00472950615591,0
20820,1,22.89,27.445,0,691,0.004739075514747,0
20760,1,22.89,27.5,0,688,0.004748645165811,0
20700,1,22.89,27.5,0,689.5,0.004748645165811,0
20640,1,22.79,27.445,0,689,0.004710224046806,0
20581,1,22.79,27.5,0,685.666666666667,0.00471973499915,0
20521,1,22.79,27.5,0,687,0.00471973499915,0
20460,1,22.79,27.5,0,688,0.00471973499915,0
20400,1,22.745,27.5,0,670,0.004706776158049,0
20340,1,22.7,27.4633333333333,0,668.666666666667,0.004687543083844,0
20280,1,22.7,27.5,0,670,0.004693848714108,0
20220,1,22.7,27.5,0,667,0.004693848714108,0
20161,1,22.6666666666667,27.4266666666667,0,664.5,0.004671707764618,0
20101,1,22.7,27.6,0,670,0.004711046532523,0
20040,1,22.6,27.4266666666667,0,670.333333333333,0.004652699458698,0
19980,1,22.6,27.39,0,672,0.004646432806535,0
19920,1,22.6,27.3566666666667,0,658,0.004640735958784,0
19860,1,22.6,27.445,0,660.5,0.004655832831781,0
19801,1,22.6,27.4266666666667,0,658,0.004652699458698,0
19741,1,22.6,27.445,0,655,0.004655832831781,0
19680,1,22.6,27.445,0,654.25,0.004655832831781,0
19620,1,22.6,27.39,0,648,0.004646432806535,0
19560,1,22.5,27.3233333333333,0,648.666666666667,0.004606763202978,0
19500,1,22.5,27.445,0,646,0.004627429032145,0
19440,1,22.5,27.5,0,646,0.004636771566698,0
19381,1,22.5,27.445,0,641.5,0.004627429032145,0
19320,1,22.39,27.29,0,639,0.004570212087991,0
19260,1,22.5,27.5,0,640,0.004636771566698,0
19200,1,22.39,27.34,0,630.5,0.00457864714514,0
19141,1,22.39,27.3566666666667,0,629.333333333333,0.004581458881325,0
19080,1,22.39,27.5,0,632,0.004605640854261,0
19021,1,22.39,27.5,0,636.5,0.004605640854261,0
18961,1,22.39,27.5,0,627.5,0.004605640854261,0
18900,1,22.39,27.39,0,626,0.004587082429402,0
18840,1,22.39,27.5,0,625.5,0.004605640854261,0
18780,1,22.34,27.39,0,623.5,0.00457305034948,0
18720,1,22.39,27.4633333333333,0,624.666666666667,0.004599454590494,0
18660,1,22.39,27.39,0,622,0.004587082429402,0
18601,1,22.29,27.39,0,621,0.004559056148523,0
18540,1,22.34,27.39,0,626.5,0.00457305034948,0
18480,1,22.29,27.39,0,622,0.004559056148523,0
18420,1,22.39,27.39,0,620,0.004587082429402,0
18361,1,22.29,27.39,0,621.5,0.004559056148523,0
18300,1,22.29,27.3566666666667,0,616.333333333333,0.004553467209043,0
18241,1,22.29,27.34,0,609,0.004550672776693,0
18181,1,22.29,27.39,0,614,0.004559056148523,0
18120,1,22.29,27.34,0,613.5,0.004550672776693,0
18060,1,22.29,27.34,0,611,0.004550672776693,0
18000,1,22.29,27.39,0,612,0.004559056148523,0
17940,1,22.29,27.29,0,608,0.004542289629199,0
17881,1,22.29,27.29,0,605.5,0.004542289629199,0
17821,1,22.2675,27.315,0,608.5,0.00454021358023,0
17760,1,22.2,27.29,0,608.5,0.0045172881935,0
17700,1,22.245,27.29,0,602.5,0.00452977369586,0
17640,1,22.2,27.29,0,598,0.0045172881935,0
17580,1,22.2,27.29,0,595,0.0045172881935,0
